countrycode,year,gdp_mill_USD_PPP
USA,1975,1684904
USA,1976,1873412
USA,1977,2081826
USA,1978,2351599
USA,1979,2627333
USA,1980,2857307
USA,1981,3207041
USA,1982,3343789
USA,1983,3634038
USA,1984,4037613
USA,1985,4338979
USA,1986,4579631
USA,1987,4855215
USA,1988,5236438
USA,1989,5641580
USA,1990,5963144
USA,1991,6158129
USA,1992,6520327
USA,1993,6858559
USA,1994,7287236
USA,1995,7639749
USA,1996,8073122
USA,1997,8577552
USA,1998,9062817
USA,1999,9631172
USA,2000,10250952
USA,2001,10581929
USA,2002,10929108
USA,2003,11456450
USA,2004,12217196
USA,2005,13039197
USA,2006,13815583
USA,2007,14474228
USA,2008,14769862
USA,2009,14478067
USA,2010,15048971
USA,2011,15599732
USA,2012,16253970
USA,2013,16880683
USA,2014,17608138
USA,2015,18295019
USA,2016,18804913
USA,2017,19612102
USA,2018,20656516
USA,2019,21521395
